epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,14290.68625,14290.68625,9718.809193004261,9718.809193004261
1,12534.257298177083,12534.257298177083,8314.916248668324,8314.916248668324
2,10472.325771484375,10472.325771484375,6287.692964727228,6287.692964727228
3,8737.01087890625,8737.01087890625,3501.688656532629,3501.688656532629
4,4271.584477539062,4271.584477539062,2110.6396380568967,2110.6396380568967
5,2883.924489746094,2883.924489746094,1872.0422753420744,1872.0422753420744
6,2722.4317626953125,2722.4317626953125,1909.186109499498,1909.186109499498
7,2390.6795556640627,2390.6795556640627,1965.8343298651955,1965.8343298651955
8,2697.754958496094,2697.754958496094,2071.686640435999,2071.686640435999
9,2367.9919099934896,2367.9919099934896,2061.0477530089292,2061.0477530089292
10,2603.5089404296873,2603.5089404296873,2112.3843583377416,2112.3843583377416
11,2435.292590332031,2435.292590332031,2144.7618937058883,2144.7618937058883
12,2662.222158203125,2662.222158203125,2249.292634330013,2249.292634330013
13,2398.789064534505,2398.789064534505,2408.68122586337,2408.68122586337
14,2474.5006038411457,2474.5006038411457,2407.5004962574353,2407.5004962574353
15,2444.868409830729,2444.868409830729,2485.7799965251575,2485.7799965251575
16,2460.913905436198,2460.913905436198,2600.9501281218095,2600.9501281218095
17,2392.200759277344,2392.200759277344,2617.3109776973724,2617.3109776973724
18,2409.952267252604,2409.952267252604,2731.745910332284,2731.745910332284
19,2471.8192895507814,2471.8192895507814,2830.9655248685317,2830.9655248685317
20,2401.2127197265627,2401.2127197265627,3030.602042024786,3030.602042024786
21,2470.5142838541665,2470.5142838541665,3001.913817839189,3001.913817839189
22,2369.717078450521,2369.717078450521,2860.5274002389474,2860.5274002389474
23,2425.7883374023436,2425.7883374023436,2983.322451201352,2983.322451201352
24,2373.701153971354,2373.701153971354,2996.025461803783,2996.025461803783
25,2439.3031998697916,2439.3031998697916,2984.1742335449567,2984.1742335449567
26,2494.167957356771,2494.167957356771,3034.453677220778,3034.453677220778
27,2248.8263142903647,2248.8263142903647,3152.7375996112823,3152.7375996112823
28,2229.8510498046876,2229.8510498046876,3197.697039289908,3197.697039289908
29,2308.9234594726563,2308.9234594726563,3227.8084230030126,3227.8084230030126
30,2263.6072827148437,2263.6072827148437,3134.955325646834,3134.955325646834
31,2286.1500911458334,2286.1500911458334,3087.6397500471635,3087.6397500471635
32,2292.6009615071616,2292.6009615071616,3140.478556177833,3140.478556177833
33,2197.748327636719,2197.748327636719,3083.8568204316225,3083.8568204316225
34,2288.240018717448,2288.240018717448,3157.6474351503634,3157.6474351503634
35,2544.007041015625,2544.007041015625,3111.263095508922,3111.263095508922
36,2317.565323079427,2317.565323079427,3260.2563567093825,3260.2563567093825
37,2307.001787109375,2307.001787109375,3230.6224607114086,3230.6224607114086
38,2357.437000325521,2357.437000325521,3448.3221340179443,3448.3221340179443
39,2565.354133300781,2565.354133300781,3442.5052891644564,3442.5052891644564
40,2411.0501399739583,2411.0501399739583,3395.27320727435,3395.27320727435
41,2271.027275390625,2271.027275390625,3512.0651326612992,3512.0651326612992
42,2480.7571647135414,2480.7571647135414,3615.4508124264803,3615.4508124264803
43,2212.9498502604165,2212.9498502604165,3576.307943864302,3576.307943864302
44,2220.5434903971354,2220.5434903971354,3722.64845310558,3722.64845310558
45,2410.56078125,2410.56078125,3709.840924349698,3709.840924349698
